titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
asi hablo zaratustra;filosofia clasica;filosofia;9;15000,0;11250,0;0,25;nietzsche, friedrich;penguin clasicos;rustico;0,36;19,0;12,5;3,0;2024,0;555,0;ASI HABLO ZARATUSTRAObra capital de Friedrich Nietzsche, Así habló Zaratustra recrea los trabajos y las palabras del profeta persa Zaratustra en el momento en que desciende de las montañas para revelar ante el mundo que Dios ha muerto y que el Superhombre ha de ser su sucesor. Con un discurso de gran intensidad que combina la ética, la narración y la poesía, Nietzsche sostiene que el sentido de la existencia no se encuentra en las viejas ideas religiosas ni en la sumisión a los amos, sino en una fuerza vital todopoderosa que puede identificarse con una nueva forma de ser libre.La presente edición, a cargo de Fernando Pérez-Borbujo Álvarez, experto en el autor y profesor de filosofía de la Universidad Pompeu Fabra, cuenta con una magnífica introducción sobre la vida y obra de Nietzsche y un aparato de notas que ayuda a la cabal comprensión del texto.AdquieraASI HABLO ZARATUSTRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789585573277-asi-hablo-zaratustra/;2025-08-24;712,5
economia moderna;economia;economia y negocios;1;18000,0;14900,0;0,17;hardwick / khan / langmead;biblioteca nueva;rustico;1,39;25,0;20,0;4,0;2010,0;687,0;ECONOMIA MODERNAEconomía moderna es uno de los manuales de introducción a la economía de mayor éxito en Gran Bretaña y otros países de habla inglesa. En esta obra se dedica especial atención a cuestiones actuales como la economía del medio ambiente, la privatización y la desregulación y los modernos enfoques de la política macroeconómica, adaptándose a la realidad económica española, lo que hace de este libro un excelente manual para los estudiantes de ciencias económicas y empresariales como para los de derecho o ciencias sociales en general, que precisan de un texto sintético y actualizado en el que las instituciones y los datos estadísticos analizados son los de la economía española en el marco de la Unión Europea.AdquieraECONOMIA MODERNAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788488123107-economia-moderna/;2025-08-24;2000,0
nacidos de la bruma (mistborn 1);narrativa fantastica;literatura narrativa fantastica;7;18000,0;13500,0;0,25;sanderson, brandon;b de bolsillo;rustico/bolsillo;0,468;19,0;12,5;3,7;2024,0;680,0;NACIDOS DE LA BRUMA (MISTBORN 1)Las brumas gobiernan la noche. El lord Legislador domina el mundo.En otros tiempos, un héroe se alzó para salvar la humanidad. Fracasó.Desde entonces, el mundo es un erial de ceniza y niebla gobernado por un emperador inmortal conocido como el lord Legislador.Pero la esperanza perdura. Una nueva revuelta cobra forma cimentándose en la treta definitiva: la astucia de un brillante genio del crimen y la determinación de una heroína insólita, una joven ladrona callejera que deberá aprender a controlar el poder de los nacidos de la bruma.AdquieraNACIDOS DE LA BRUMA (MISTBORN 1)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413149813-nacidos-de-la-bruma-mistborn-1/;2025-08-24;878,75
crear o morir;economia y negocios;economia y negocios;3;13000,0;9750,0;0,25;oppenheimer, andres;debolsillo;rustico/bolsillo;0,4;19,0;13,0;1,0;2024,0;336,0;CREAR O MORIRCon un sorprendente optimismo sobre el futuro de América Latina, Andrés Oppenheimer revela en este libro las claves del éxito en el siglo XXI, en que la innovación y la creatividad serán los pilares del progreso. ¿Qué debemos hacer como personas y países para avanzar en la economía de la innovación? ¿Qué debemos hacer para producir emprendedores de talla mundial, como Steve Jobs? Para averiguarlo, Oppenheimer -el periodista latinoamericano más galardonado a escala internacional- explora los secretos de las brillantes trayectorias de varios innovadores en la actualidad.AdquieraCREAR O MORIRen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287641532-crear-o-morir/;2025-08-24;247,0
el viento conoce mi nombre;autores chilenos;literatura autores chilenos;10;13000,0;9750,0;0,25;allende, isabel;debolsillo;rustico/bolsillo;0,315;19,0;13,0;2,0;2024,0;352,0;EL VIENTO CONOCE MI NOMBREViena, 1938. Samuel Adler es un niño judío de seis años cuyo padre desaparece durante la Noche de los Cristales Rotos, en la que su familia lo pierde todo. Su madre, desesperada, le consigue una plaza en un tren que le llevará desde la Austria nazi hasta Inglaterra. Samuel emprende una nueva etapa con su fiel violín y con el peso de la soledad y la incertidumbre, que lo acompañarán siempre en su dilatada vida.Arizona, 2019. Ocho décadas más tarde, Anita Díaz, de siete años, sube con su madre a bordo de otro tren para escapar de un inminente peligro en El Salvador y exiliarse en Estados Unidos. Su llegada coincide con una nueva e implacable política gubernamental que la separa de su madre en la frontera. Sola y asustada, lejos de todo lo que le es familiar, Anita se refugia en Azabahar, el mundo mágico que solo existe en su imaginación. Mientras tanto, Selena Durán, una joven trabajadora social, y Frank Angileri, un exitoso abogado, luchan por reunir a la niña con su madre y por ofrecerle un futuro mejor.AdquieraEL VIENTO CONOCE MI NOMBREen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256895-el-viento-conoce-mi-nombre/;2025-08-24;494,0
un monstruo viene a verme;novela juvenil;libros juveniles;5;12000,0;9000,0;0,25;ness, patrick;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2022,0;208,0;UN MONSTRUO VIENE A VERMEMerecedora de numerosos premios y distinciones, Un monstruo viene a verme es la novela más aclamada de Patrick Ness. Una historia emocionante y extraordinaria sobre un niño, su madre enferma y el monstruo que viene a visitarle.Siete minutos despues de la medianoche, Conor despierta y se encuentra un monstruo en la ventana. Pero no es el monstruo que él esperaba, el de la pesadilla que tiene casi todas las noches desde que su madre empezó el arduo e incansable tratamiento. No, este monstruo es algo diferente, antiguo… Y quiere lo más peligroso de todo: la verdad.Maliciosa, divertida y conmovedora, Un monstruo viene a verme nos habla de nuestra dificultad para aceptar la perdida y de los lazos frágiles pero extraordinariamente poderosos que nos unen a la vida.AdquieraUN MONSTRUO VIENE A VERMEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466362399-un-monstruo-viene-a-verme/;2025-08-24;237,5
las siete hermanas;novela romantica;literatura novela romantica;5;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2022,0;560,0;LAS SIETE HERMANASLucinda Riley, autora superventas mundial, presenta una nueva y emocionante serie basada en la mitología griega y en la astrología que hará las delicias de sus lectoras.A la muerte de su padre seis hermanas irán en busca de su origen y lo que descubran les hará comprender que su amor estaba escrito en las estrellas.Maia D’Apliese y sus hermanas regresan a la impresionante mansión familiar donde crecieron al descubrir que su adorado padre, que las adoptó en distintos lugares cuando no eran más que bebes, acaba de fallecer. Cada una recibe un sobre que contiene una prometedora pista sobre su origen. A Maia, la mayor de las hermanas y nuestra protagonista, la suya le lleva a una casa en ruinas en Río de Janeiro. Allí comenzará a recomponer las piezas de su historia.Ochenta años antes, en la Belle Époque de Río de Janeiro, el padre de Izabela Bonifacio aspira a que su hija se case con un aristócrata. Por su lado, el arquitecto Heitor da Silva Costa trabaja en la concepción de una inmensa estatua que se llamará el Cristo Redentor, y su búsqueda del escultor idóneo para llevar a cabo tan ambiciosa obra lo conduce hasta París. Apasionada y deseosa de conocer mundo, Izabela convence a su padre para que la deje acompañarlo a París antes de casarse. Allí, entre el estudio de Paul Landowski y los bulliciosos cafés de Montparnasse, Izabela conocerá al ambicioso y joven escultor Laurent Brouilly, y sabrá desde el primer instante que su vida ha cambiado para siempre.AdquieraLAS SIETE HERMANASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466339025-las-siete-hermanas/;2025-08-24;237,5
la hermana tormenta (siete hermanas 2);novela romantica;literatura novela romantica;7;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2022,0;576,0;LA HERMANA TORMENTA (SIETE HERMANAS 2)La hermana tormenta es el segundo volumen de Las Siete Hermanas, una emocionante saga basada en la mitología griega y en la astrología, por la autora superventas Lucinda Riley.Siete hermanas, siete destinos, un padre con un pasado misterioso…Ally D’Apliese está a punto de competir en una de las más peligrosas regatas de yates del mundo cuando recibe la noticia de que su padre acaba de fallecer. Al reunirse en la mansión familiar en Suiza con sus cinco hermanas descubren que su padre, un misterioso multimillonario conocido cariñosamente como Pa Salt, ha dejado a cada una de ellas una carta con información sobre sus orígenes.Tras leerla Ally decide dejar a un lado tanto el mar como la apasionada relación que acababa de comenzar para seguir una pista que la lleva hasta la nevada Noruega. Allí descubrirá sus raíces y cómo su historia está unida a la de la joven Anna Landvik, una cantante desconocida que vivió en el país escandinavo cien años antes y que cantó en la primera representación de Peer Gynt de Ibsen con música de Grieg.AdquieraLA HERMANA TORMENTA (SIETE HERMANAS 2)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466343251-la-hermana-tormenta-siete-hermanas-2/;2025-08-24;237,5
la hermana sombra (siete hermanas 3);novela romantica;literatura novela romantica;3;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,405;19,0;12,5;3,5;2019,0;592,0;LA HERMANA SOMBRA (SIETE HERMANAS 3)La hermana sombra es el tercer libro de la serie basada en la mitología griega y en la astrología, Las Siete Hermanas, de la autora superventas mundial Lucinda Riley.Siete hermanas, siete destinos, un padre con un pasado misterioso…Star D’Apliese se encuentra en una encrucijada tras la repentina muerte de su padre, el misterioso millonario Pa Salt. Ha dejado a cada una de sus seis hijas una pista sobre sus orígenes, pero Star, la más enigmática de todas, tiene serias dudas sobre la necesidad de aventurarse y perder la seguridad que la estrecha relación con su hermana CeCe le brinda. A la desesperada decide seguir la pista, que la conduce a una librería de antiguo en Londres y al comienzo de un nuevo mundo para ella.Hace cien años Flora MacNichol jura que nunca se casará. Se siente feliz y segura en su casa en el Lake District cerca de Beatrix Potter, a quien idolatra. Pero se ve arrastrada contra su voluntad hasta Londres, a la casa de una de las personas más influyentes de la sociedad eduardiana: Alice Keppel, la amante más famosa de Eduardo VII, el hijo mayor de la reina Victoria.En este entorno, se debate entre el amor apasionado y las obligaciones familiares al mismo tiempo que se siente como un peón en juego, cuyas reglas solo conocen otros. Sin embargo, el encuentro fortuito con un misterioso caballero le proporciona las respuestas que siempre ha esperado.Star descubrirá el nexo con Flora y su glamuroso pasado a la vez que dejará la puerta abierta al amor.AdquieraLA HERMANA SOMBRA (SIETE HERMANAS 3)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466343633-la-hermana-sombra-siete-hermanas-3/;2025-08-24;831,25
la hermana sol;novela romantica;literatura novela romantica;4;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2025,0;752,0;LA HERMANA SOLDe Manhattan a las majestuosas llanuras africanas, el sexto libro de la serie “Las Siete Hermanas” es una historia romántica e inolvidable.Siete hermanas, siete destinos, un padre con un pasado misterioso.En apariencia, Electra d’Apliese lo tiene todo para ser feliz. Es bella, rica, famosa y una de las modelos más cotizadas del mundo. Pero debajo de esa perfecta fachada Electra no ha sido capaz de superar la muerte de su padre, el misterioso millonario Pa Salt, y recurre constantemente al alcohol y las drogas. Mientras lucha por salir a flote, un día recibe una carta de una desconocida que asegura ser su abuela…En 1939, Cecily Huntley-Morgan viaja a Kenia desde Nueva York en un intento de recomponer su corazón roto. Tras instalarse con su madrina en las orillas del idílico lago Naivasha, conoce a Bill Forsythe, un hacendado de carácter hosco y estrechos lazos con la orgullosa tribu de los masáis. Pero la guerra se acerca y Cecily se siente cada vez más aislada. Hasta que un encuentro con una mujer en el bosque propicia una promesa que cambiará su vida para siempre.AdquieraLA HERMANA SOLen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466355698-la-hermana-sol/;2025-08-24;237,5
la hermana perla;novela romantica;literatura novela romantica;3;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,42;19,0;12,5;3,5;2020,0;608,0;LA HERMANA PERLALa hermana perla es el cuarto volumen de la emocionante saga de Lucinda Riley Las Siete Hermanas, una serie de novelas basada en la mitología griega y en la astrología que enamorará a sus lectoras.Siete hermanas, siete destinos, un padre con un pasado misterioso…CeCe D’Apliese nunca ha encajado en ningún lugar. Tras la muerte de su padre, el misterioso multimillonario Pa Salt, que adoptó a las seis hermanas desde distintas partes del mundo, se encuentra en una encrucijada: ha dejado la escuela de arte y su hermana Star se distancia de ella para perseguir su sueño.A la desesperada decide huir de Londres y descubrir su pasado. Las únicas pistas que tiene son una fotografía y el nombre de una mujer pionera que vivió en Australia hace un siglo.De camino hacia Sidney hace parada en el único lugar donde se ha sentido ella misma: las playas de Krabi en Tailandia, donde conoce al misterioso Ace.Cien años antes, Kitty McBride, hija de un reverendo de Edimburgo, viaja a Australia como dama de compañía de la acaudalada Sra. McCrombie. En Adelaida su destino se ve unido a la rica familia, incluidos los identicos aunque muy diferentes gemelos, el impetuoso Drummond y el ambicioso Andrew, heredero de una fortuna en la industria.AdquieraLA HERMANA PERLAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466350273-la-hermana-perla/;2025-08-24;831,25
la hermana perdida;novela romantica;literatura novela romantica;4;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2022,0;720,0;LA HERMANA PERDIDALa esperada resolución al misterio de la séptima hermana de la aclamada saga best seller de Lucinda Riley.Siete hermanas, siete destinos, un padre con un pasado misterioso.Cada una de las seis hermanas D’Apliese ha realizado ya su propio e increíble viaje para conocer sus orígenes, pero todavía queda una pregunta a la que no han hallado respuesta: ¿quién es y dónde se encuentra la séptima hermana? Solo cuentan con una pista: la imagen de un extraño anillo de esmeraldas en forma de estrella. La búsqueda para encontrar a la hermana perdida las llevará por todo el planeta, de Nueva Zelanda a Canadá, Inglaterra, Francia e Irlanda, en su misión de reunir por fin a la familia. Y, al hacerlo, poco a poco irán descubriendo una historia de amor, fuerza y sacrificio que comenzó hace casi un siglo, cuando otras valientes mujeres arriesgaron todo lo que tenían para cambiar el mundo que las rodeaba.AdquieraLA HERMANA PERDIDAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466358736-la-hermana-perdida/;2025-08-24;237,5
la hermana luna;novela romantica;literatura novela romantica;4;15000,0;11250,0;0,25;riley, lucinda;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,0;2020,0;624,0;LA HERMANA LUNALa hermana luna es el quinto volumen de la emocionante saga de Lucinda Riley Las Siete Hermanas, una serie de novelas basada en la mitología griega y en la astrología que enamorará a sus lectoras y que en este caso nos transporta a Granada, Barcelona y Madrid.Siete hermanas, siete destinos, un padre con un pasado misterioso…Cuando Tiggy D”Apliese acepta trabajar en una de las zonas más recónditas de Escocia, en concreto en la enorme finca Kinnaird, nada le hace sospechar que el misterioso terrateniente, Charlie Kinnaird, está a punto de alterar su futuro e, irónicamente, revelarle su pasado. En su nuevo hogar Tiggy descubrirá que tiene un don, el sexto sentido, una herencia de sus antepasados gitanos.Lucía Amaya-Albaycín nació en 1912 en el barrio del Sacromonte, frente a la Alhambra, y la apodaron La Candela. En su destino está escrito convertirse en una de las grandes bailarinas de la historia, y por eso su padre se la lleva a los bares de flamenco de Barcelona con solo diez años. Al estallar la Guerra Civil, Lucía y su grupo de bailaores se ven obligados a buscar refugio en Nueva York. Pero para ver cumplido su sueño Lucía tendrá que elegir entre la pasión por el baile o el hombre al que ama.AdquieraLA HERMANA LUNAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466351119-la-hermana-luna/;2025-08-24;237,5
voces de chernobil;memorias- diarios- cronicas- etc;literatura memorias- diarios- cronicas- etc;9;15000,0;11250,0;0,25;alexievich, svetlana;debolsillo;rustico/bolsillo;0,27;19,0;13,0;2,0;2015,0;412,0;VOCES DE CHERNOBILChernóbil, 1986. «Cierra las ventanillas y acuéstate. Hay un incendio en la central. Vendré pronto.» Esto fue lo último que un joven bombero dijo a su esposa antes de acudir al lugar de la explosión. No regresó. Y en cierto modo, ya no volvió a verle, pues en el hospital su marido dejó de ser su marido. Todavía hoy ella se pregunta si su historia trata sobre el amor o la muerte.Voces de Chernóbil está planteado como si fuera una tragedia griega, con coros y unos héroes marcados por un destino fatal, cuyas voces fueron silenciadas durante muchos años por una polis representada aquí por la antigua URSS. Pero, a diferencia de una tragedia griega, no hubo posibilidad de catarsis. «[…] por su escritura polifónica, que es un monumento al valor y al sufrimiento en nuestro tiempo.», palabras del Jurado de la Academia Sueca al otorgar a la autora el Premio Nobel de Literatura 2015.AdquieraVOCES DE CHERNOBILen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588940151-voces-de-chernobil/;2025-08-24;494,0
la caida (nobel);narrativa extranjera;literatura narrativa extranjera;1;12000,0;9000,0;0,25;camus, albert;debolsillo;rustico/bolsillo;0,14;19,0;13,0;1,0;2021,0;128,0;LA CAIDA (NOBEL)La tercera y última novela publicada en vida de Albert Camus, un monólogo con gran ritmo narrativo sobre la idea de la justicia y los excesos de la vida moderna.Publicada originalmente en 1956, La caída es la tercera novela de Albert Camus y la última que vio la luz en vida del autor. Consiste enteramente en la confesión que el narrador y protagonista, Jean-Baptiste Clamence, le hace a un oyente silencioso a lo largo de varias jornadas en la ciudad de Ámsterdam, y su extenso monólogo se centra en los hechos que le llevaron a abrazar el sinsentido existencial.Una noche, al volver a su casa en París, Clamence pasó por un puente en el que vio a una muchacha inclinada sobre el parapeto. Enseguida la oyó arrojarse al agua, pero no hizo nada por socorrerla. A partir de entonces, ha vivido roído por la culpa y no ha dejado de caer en su propia escala moral. En este hombre desgarrado, Albert Camus refleja sin duda a una sociedad de posguerra que lucha con sus fantasmas, mientras busca un centro vital y la verdadera justicia.AdquieraLA CAIDA (NOBEL)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789585579743-la-caida-nobel/;2025-08-24;247,0
las 33 estrategias de la guerra;crecimiento personal;autoayuda;5;32900,0;19900,0;0,4;greene, robert / elffers, joost;espasa;rustico;0,814;23,0;15,0;4,0;2024,0;512,0;LAS 33 ESTRATEGIAS DE LA GUERRAEl manual indispensable para abrirse paso con éxito en la vida, inspirado en los principios más ingeniosos y eficaces de la guerra.En este libro, equivalente contemporáneo de El arte de la guerra de Sun Tzu, Robert Greene desgrana las estrategias ofensivas y defensivas más brillantes de la historia y nos muestra cómo aplicarlas para salir victorioso en las batallas cotidianas.Apoyándose en ejemplos históricos y en textos políticos, filosóficos y religiosos procedentes de distintas épocas y civilizaciones, ofrece un insustituible repertorio, psicológico y táctico, tanto para mantener la iniciativa y negociar desde una posición de fortaleza como para responder a situaciones peligrosas y evitar conflictos que no se van a ganar. Es, en definitiva, toda la munición que necesitas para vencer en las guerras de la vida.AdquieraLAS 33 ESTRATEGIAS DE LA GUERRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788467073072-las-33-estrategias-de-la-guerra/;2025-08-24;1380,0
mafalda presidenta;comic y novelas graficas;literatura comic y novelas graficas;9;17000,0;13600,0;0,2;quino;lumen;rustico;0,45;22,9;18,5;1,5;2025,0;168,0;MAFALDA PRESIDENTAHarta de la intolerancia, de que el mundo esté “manejado con los pies” y de que no haya manera de que los humanos nos pongamos de acuerdo, y convencida de que ella es tan ciudadana como la que más, Mafalda despliega lo mejor de sí misma en el análisis crítico de la realidad política y social que la circunda.Bajo su lupa pasan la democracia, el estado del mundo, la desafección de los gobernantes, los conflictos internacionales, la pobreza, los derechos humanos, el cuidado del planeta, las ideas de progreso y las más retrógradas: una mirada reivindicativa, solidaria e irreverente nunca exenta de esperanza y de grandes dosis de humor, que sigue siendo hoy más actual que nunca.AdquieraMAFALDA PRESIDENTAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788426411099-mafalda-presidenta/;2025-08-24;635,4749999999999
la vida segun mafalda (inedito);comic y novelas graficas;literatura comic y novelas graficas;10;17000,0;10200,0;0,4;quino;lumen;rustico;0,44;23,0;18,5;1,5;2025,0;168,0;LA VIDA SEGUN MAFALDA (INEDITO)¿Tiene la vida moderna más de moderna que de vida? ¿Uno va llevando su vida adelante o la vida se lo lleva por delante a uno? ¿Por qué esa vida que uno se gana tiene que desperdiciarse en trabajar para ganarse la vida? ¿Qué te gustaría ser si vivieras? Estas son algunas de las muchas preguntas que se hacen Mafalda y sus inseparables amigos mientras juegan, caminan por las calles de su ciudad, van al colegio o de vacaciones. En definitiva: mientras viven. Nuestra presencia en el mundo nos llena de asombro y suscita interrogantes de todo tipo a los que esta pequeña filósofa humanista se enfrenta con curiosidad, inteligencia y muchas dosis de humor.AdquieraLA VIDA SEGUN MAFALDA (INEDITO)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788426428851-la-vida-segun-mafalda-inedito/;2025-08-24;638,25
vivir en la luz;yoga y meditacion;medicina alternativa;10;17000,0;13600,0;0,2;chopra, deepak;grijalbo;rustico;0,35;23,0;15,0;1,3;2025,0;304,0;VIVIR EN LA LUZCombinando un programa práctico de treinta días que te ayudará a romper con hábitos limitantes y sistemas de creencias, con una exploración profunda de cincuenta posturas de yoga estimulantes y restauradoras, Deepak Chopra y su coautora proporcionan un enfoque completo e inspirador para unir la mente, el cuerpo y el alma. Con nuevos conocimientos sobre inteligencia social y emocional, el poder de la atención, la conciencia corporal, la respiración, la plenitud y la trascendencia, y con decenas de ilustraciones de posturas de yoga (accesibles para todos los niveles, desde principiantes hasta entusiastas), este libro es la guía definitiva para un futuro emocionante, brillante y esclarecedor.AdquieraVIVIR EN LA LUZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789502817552-vivir-en-la-luz/;2025-08-24;448,5
tierra del fuego;autores chilenos;literatura autores chilenos;5;14000,0;10500,0;0,25;coloane, francisco;debolsillo;rustico/bolsillo;0,183;19,5;12,0;1,0;2025,0;208,0;TIERRA DEL FUEGOConsiderada por el mismo autor y por la crítica como su mejor obra, Tierra del Fuego contiene nueve relatos que narran las travesías de hombres y mujeres por las Ferras más australes del mundo y por su interior. Seres humanos curtidos y rudos enfrentados a la inclemencia de la naturaleza en toda su crudeza y esplendor.AdquieraTIERRA DEL FUEGOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256840-tierra-del-fuego/;2025-08-24;234,0
chilenas al poder : historia del voto femenino;historia de chile;historia;10;17000,0;10200,0;0,4;cumplido, maria jose;sudamericana;rustico;0,198;20,0;15,0;1,0;2025,0;164,0;CHILENAS AL PODER : HISTORIA DEL VOTO FEMENINOEl derecho al voto femenino en Chile no fue una concesión, sino una conquista liderada por mujeres valientes y decididas.El derecho al voto femenino en Chile no fue una concesión, sino una conquista liderada por mujeres valientes y decididas.En Chilenas al poder, la historiadora y divulgadora María José Cumplido recorre desde la primera ola feminista en el siglo XIX hasta la histórica aprobación del voto femenino en 1949. Figuras como Elena Caffarena y Martina Barros cobran protagonismo en una lucha que fue mucho más que política: fue una demanda de dignidad y justicia.Este no es un libro académico tradicional, sino un texto que busca conectar con lectoras y lectores interesados en descubrir el proceso que hizo posible la participación política de las mujeres chilenas. La autora, con su característico estilo, tan accesible como riguroso, invita a pensar la historia desde la perspectiva de las mujeres, revelando un relato complejo y fascinante que se entrelaza con otras luchas sociales, como la educación, el movimiento obrero, y las demandas por derechos básicos.No todas las feministas fueron iguales, y este libro no oculta sus tensiones y diferencias. Las páginas que componen este título están llenas de debates, estrategias y alianzas que muestran cómo se organizaron, discutieron y actuaron en un contexto de transformaciones políticas y sociales. Este relato permite comprender las raíces de demandas que siguen vigentes y plantea interrogantes sobre cómo seguir avanzando hacia una igualdad plena.Recuperar esta historia no es solo una labor académica, sino un acto político. El conocimiento del pasado se convierte en una herramienta para entender el presente y proyectar un futuro más justo.En un momento en que las democracias liberales atraviesan una crisis, Chilenas al poder invitar a reflexionar sobre el rol que las mujeres han tenido y deben seguir teniendo en la construcción de una sociedad más equitativa.Este libro es una invitación a pensar, a dialogar y a construir. Es un homenaje a las mujeres que, con su esfuerzo, abrieron el camino para que hoy podamos hablar de feminismo y perfilación ciudadana con voz firme.AdquieraCHILENAS AL PODER : HISTORIA DEL VOTO FEMENINOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789562626668-chilenas-al-poder-historia-del-voto-femenino/;2025-08-24;300,0
golfo de penas;autores chilenos;literatura autores chilenos;5;14000,0;10500,0;0,25;coloane, francisco;debolsillo;rustico/bolsillo;0,173;19,5;12,0;1,0;2025,0;196,0;GOLFO DE PENASDieciocho cuentos situados en la pampa patagónica, cuyos protagonistas: capitanes de barco, cetáceos, goletas, cazadores de focas, se enfrentan la soledad y la grandeza de estas tierras remotas, dejando al descubierto la esencia más primitiva del ser humano en su lucha por sobrevivir y, asimismo, la bondad y amor por la naturaleza.AdquieraGOLFO DE PENASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256857-golfo-de-penas/;2025-08-24;234,0
