titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
la libertad y el valor para escribir;ensayo;literatura ensayo;3;13000,0;9750,0;0,25;woolf, virginia;debolsillo;rustico/bolsillo;0,194;19,0;12,5;1,0;2025,0;248,0;LA LIBERTAD Y EL VALOR PARA ESCRIBIRUna fabulosa selección de ensayos acerca de las mujeres y la literatura que refuerza el argumentario propuesto por Virginia Woolf en Una habitación propia.A lo largo de toda su vida Virginia Woolf cultivó con maestría la crítica literaria y social en textos ensayísticos que iba publicando en los principales periódicos y revistas de su tiempo. El presente volumen, que reúne dieciocho de esas piezas, se centra en la constante reflexión de la autora sobre las obras escritas por mujeres, y ofrece ensayos y reseñas que abarcan desde las cartas de madame de Sevigné hasta los experimentos narrativos de Katherine Mansfield, pasando por la poesía de Christina Rossetti y las grandes novelas de Jane Austen y las hermanas Brontë. La introducción está a cargo de Cristina Oñoro, autora de Las que faltaban, quien relaciona esta labor crítica con el famoso ensayo feminista Una habitación propia.AdquieraLA LIBERTAD Y EL VALOR PARA ESCRIBIRen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466378123-la-libertad-y-el-valor-para-escribir/;237,5
diario de escritora;memorias- diarios- cronicas- etc;literatura memorias- diarios- cronicas- etc;3;15000,0;11250,0;0,25;woolf, virginia;debolsillo;rustico/bolsillo;0,394;19,0;13,0;1,0;2025,0;512,0;DIARIO DE ESCRITORAEl diario de Virginia Woolf, un documento revelador, en una selección centrada en la labor literaria y la reflexión estética de la gran escritora inglesa.Virginia Woolf llevó un diario desde 1915 hasta poco antes de su muerte en 1941 en el que reflexionaba sobre diversos aspectos de su vida cotidiana, sus procesos creativos, la literatura, sus relaciones personales y la situación política de su época. Este documento es especialmente valioso por la visión que proporciona de su desarrollo como escritora, como se pone de manifiesto en la presente selección, publicada póstumamente en 1953 por esposo, Leonard Woolf. Además de las múltiples percepciones de una mente brillante, en sus páginas destacan los pensamientos de la autora sobre las obras que estaba escribiendo y sus reacciones a la cultura de su tiempo.AdquieraDIARIO DE ESCRITORAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466378031-diario-de-escritora/;247,0
conecta con la motivacion;crecimiento personal;autoayuda;4;13000,0;9750,0;0,25;tracy, brian;debolsillo;rustico/bolsillo;0,206;18,9;12,5;1,0;2025,0;280,0;CONECTA CON LA MOTIVACIONLa motivación no es algo que va y viene. Existe un conjunto de leyes que conforman su ciencia y, si la aplicas sistemáticamente en tu vida, tus sueños se convertirán en tu destino.La mayoría de las personas afirma que quiere ser exitosa y feliz. Sin embargo, son pocos los capaces de sostener esfuerzos prolongados para lograr sus metas. El problema central radica en mantener la motivación sin importar cuántas dificultades surjan en el camino. Brian Tracy, experto mundial en desarrollo personal, nos muestra cómo salvar la brecha entre lo que decimos que queremos y lo que debemos hacer para lograrlo, que a menudo requiere retrasar la gratificación temporal y las soluciones rápidas para obtener una felicidad y un éxito duraderos.AdquieraCONECTA CON LA MOTIVACIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466379526-conecta-con-la-motivacion/;236,24999999999997
cartas de un estoico;filosofia clasica;filosofia;9;13000,0;9750,0;0,25;seneca;penguin clasicos;rustico/bolsillo;0,246;19,0;12,5;1,0;2025,0;328,0;CARTAS DE UN ESTOICOUna nutrida selección de las cartas de Séneca, donde expone la filosofía estoica y aporta las claves para una vida plena, con nueva introducción de Rafael Narbona.Durante varios años de su turbulenta vida, en la que se vio acosado por la enfermedad, el exilio y el peligro, Séneca fue la mano que guiaba al Imperio romano. En esta selección de sus cartas morales dirigidas a su amigo Lucilio, lo vemos defender los ideales del estoicismo, criticar algunos males de su época como el trato de los esclavos, y defender valores universales como la amistad y el valor. En última instancia, Séneca hace gala de una humanidad que lo convierte en un contemporáneo nuestro, por cuanto nos ayuda a afrontar los reveses de la existencia y elegir una vida más plena y feliz. El volumen viene precedido por una introducción de Rafael Narbona, autor de Maestros de la felicidad y referencia del pensamiento actual.AdquieraCARTAS DE UN ESTOICOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491056898-cartas-de-un-estoico/;237,5
palabras que hieren;filosofia;filosofia;4;20900,0;16700,0;0,2;butler, judith;paidos;rustico;0,391;23,3;15,5;1,0;2025,0;256,0;PALABRAS QUE HIERENJudith Butler analiza con lucidez el impacto de las palabras y desentraña cómo el discurso de odio, la censura y la resignificación construyen realidades políticas y sociales.Un revelador ensayo que explora cómo el lenguaje puede herir, censurar y moldear el poder en nuestras sociedades.Palabras que hieren ha sido reconocido universalmente como una obra magistral y uno de los libros más importantes de Judith Butler. En este análisis de los debates alrededor del discurso de odio, la pornografía y la homosexualidad, Butler sostiene que las palabras pueden herir y que la violencia lingüística es un tipo de violencia particular. También sostiene que este discurso es emocional y fluido porque sus efectos a menudo escapan al control del hablante, moldeados por la fantasía, el contexto y las estructuras de poder.Butler insta a la cautela en el uso de la legislación para restringir y censurar la libertad de expresión, pues, aunque el discurso de odio puede reforzar las estructuras de poder, también puede replicar el poder en formas que separan el lenguaje de su capacidad de causar daño. Por ejemplo, en los casos en que el lenguaje injurioso es internalizado por prácticas estéticas que buscan enfrentarse al daño y reducirlo, como ocurre en el rap y en la música popular, las palabras también pueden ser una forma de reconocimiento y usarse como réplica.Mostrando hábilmente cómo el poder subversivo del lenguaje reside en su naturaleza insubordinada y dinámica y en su capacidad para hacer suyas y desactivar palabras que normalmente hieren, Butler también trata de explicar por qué algunos discursos cuya finalidad es claramente el odio se consideran icónicos de la libertad de expresión, mientras que otras formas se someten más fácilmente a la censura.A la luz de los debates actuales entre los defensores de la libertad de expresión y la cultura de la cancelación, el mensaje de Palabras que hieren es más relevante ahora que nunca.AdquieraPALABRAS QUE HIERENen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566366577-palabras-que-hieren/;361,15000000000003
nosotros con buena suerte;novela juvenil;libros juveniles;4;22900,0;18300,0;0,2;not, alina;crossbooks;rustico;0,646;22,5;14,5;1,0;2025,0;480,0;NOSOTROS CON BUENA SUERTE¿Es el destino el camino a la felicidad? Conoce el desenlace de la historia más mágica.Beth vuelve a la ciudad universitaria tras más de un año fuera. Esta vez sabe quién es y está dispuesta a crearse su propio destino a medida día y a día y a dejar que las mariposas desaten su efecto si es así como tiene que ser.Ben sabe que una vez se metió de lleno en la boca del lobo y ni siquiera le preocupa que no exista la salida, porque tiene claras sus prioridades: no hay nada que pueda interponerse entre él, el teatro y las personas a las que quiere.Y Chris… Chris hace tiempo que perdió la esperanza de que un «para siempre» no sea tan solo un imposible más.Al enfrentarse al destino y elegir el amor, ¿bastará con una pizca de suerte?AdquieraNOSOTROS CON BUENA SUERTEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566419068-nosotros-con-buena-suerte/;326,25
llorar reir vivir. simplemente yokoi kenji;liderazgo;economia y negocios;4;19900,0;15900,0;0,2;diaz, yokoi kenji;paidos;rustico;0,273;23,0;15,0;1,0;2025,0;216,0;LLORAR REIR VIVIR. SIMPLEMENTE YOKOI KENJI“La disciplina, tarde o temprano, vencerá a la inteligencia”, Yokoi KenjiYokoi Kenji retoma en este libro historias legendarias del Japón para, al final, hacer breves comentarios a manera de conclusiones sobre la vida de hoy. Historias de monjes y fábulas dan pie para reflexiones sobre el comportamiento humano. Al igual que en Salón 8, el autor tiene como telón de fondo sus vivencias en Japón y su condición de latinoamericano. Son 41 historias cortas donde el lector se dejará envolver por cuentos casi infantiles, mágicos, para encontrar ahí la respuesta a muchas inquietudes de la vida diaria. Lejos de dar cátedra directamente por medio de conceptos, las historias mismas van dejando reflexiones sobre la importancia de la disciplina, el valor de la amistad, la lealtad, el equilibrio entre el trabajo y el ocio, la importancia de la familia, las relaciones de pareja, entre otros temas.AdquieraLLORAR REIR VIVIR. SIMPLEMENTE YOKOI KENJIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566366584-llorar-reir-vivir-simplemente-yokoi-kenji/;345,0
lilo y stitch libro de arte y caos;libros infantiles;libros infantiles;9;10900,0;8700,0;0,2;disney;planeta junior;rustico;0,139;23,0;16,0;0,5;2025,0;72,0;LILO Y STITCH LIBRO DE ARTE Y CAOS¡Inspírate en el universo de Lilo y Stitch para despertar a tu artista interior! Dibuja, escribe y monta las olas junto a Lilo, Stitch y el resto de sus amigos. ¡Lánzate a un viaje artístico para liberar tu creatividad y tu imaginación!AdquieraLILO Y STITCH LIBRO DE ARTE Y CAOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566411307-lilo-y-stitch-libro-de-arte-y-caos/;184,0
las ratitas 9. la cabana embrujada;libros infantiles;libros infantiles;5;17900,0;14300,0;0,2;las ratitas;destino ediciones;tapa dura;0,351;22,1;15,0;1,0;2024,0;144,0;LAS RATITAS 9. LA CABAÑA EMBRUJADAContinúan las aventuras de Las Ratitas, el canal infantil más seguido de YouTubeLas Ratitas van al bosque y descubren una cabaña escondida y misteriosa. Dentro encuentran un libro curioso que parece muy antiguo, y se lo llevan a casa. Y resulta que… ¡el libro está lleno de hechizos y pócimas de brujas! Claudia y Gisele intentan hacer algún hechizo, pero la magia nunca es tan fácil como parece y las cosas no salen como pensaban. ¿Qué pasará con la magia de las brujas? Si quieres saber todas las aventuras que vivirán Las Ratitas gracias al libro mágico, ¡siéntate a leer este libro y prepárate para disfrutar!AdquieraLAS RATITAS 9. LA CABAÑA EMBRUJADAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408260233-las-ratitas-9-la-cabana-embrujada/;331,5
las ratitas 8. el bosque de las hadas luminosas;libros infantiles;libros infantiles;5;17900,0;14300,0;0,2;las ratitas;destino ediciones;tapa dura;0,352;22,1;15,0;1,0;2024,0;144,0;LAS RATITAS 8. EL BOSQUE DE LAS HADAS LUMINOSASLas Ratitas se van de excursión al bosque y encuentran una piedra tan bonita y especial que se la quedan. Esa noche, ¡descubren que la piedra esconde un hada luminosa! Cuando les cuenta que un cazador de hadas taló el árbol donde vivían y se llevó a sus compañeras, Las Ratitas la ayudarán a rescatarlas. Ellas cuidan del bosque, y si están en peligro, el bosque también lo está. Gracias a sus superpoderes, se convierten en Súper Ratitas Hadas y se enfrentan al malvado cazador. No será fácil, pero ¡no pueden permitir que las hadas y el bosque desaparezcan!AdquieraLAS RATITAS 8. EL BOSQUE DE LAS HADAS LUMINOSASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408253761-las-ratitas-8-el-bosque-de-las-hadas-luminosas/;331,5
las ratitas 10. la magia esta en ti;libros infantiles;libros infantiles;5;17900,0;14300,0;0,2;las ratitas;destino ediciones;tapa dura;0,352;22,2;15,0;1,0;2024,0;144,0;LAS RATITAS 10. LA MAGIA ESTA EN TIContinúan las aventuras de Las Ratitas, el canal infantil más seguido de YouTubeClaudia y Gisele empiezan las vacaciones de Navidad. ¡Qué ilusión! Una tarde van al circo con sus amigos, pero se llevan una sorpresa desagradable: ¡hay animales enjaulados! ¡Y todos están muy tristes! Las Ratitas y sus amigos no entienden por qué los animales tienen que trabajar en vez de estar en la naturaleza. Por eso proponen al director del circo hacer una función diferente y muy especial. ¿Conseguirán convencer al director de que no necesita animales para que el espectáculo sea un éxito? ¿Lograrán Claudia, Gisele y sus amigos salvar a los animales? ¡Descúbrelo en esta increíble aventura de Las Ratitas!AdquieraLAS RATITAS 10. LA MAGIA ESTA EN TIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408276968-las-ratitas-10-la-magia-esta-en-ti/;333,0
las perrerias de mike 4. mikecrack y el secreto del laberinto;ficcion y cuentos;libros infantiles;8;18900,0;15100,0;0,2;mikecrack;martinez roca;rustico;0,278;21,5;14,0;1,0;2025,0;216,0;LAS PERRERIAS DE MIKE 4. MIKECRACK Y EL SECRETO DEL LABERINTOSe avecina una batalla sin precedentes: Mike y sus amigos deberán descubrir el secreto que oculta el laberinto si quieren salvar su dimensión.Un nuevo enemigo ha aparecido: ¡Karma, el poseedor del tercer cristal legendario! Su ambición por reunir los tres cristales podría sumir al multiverso en el caos.Para detenerlo, Mike, Akela y sus amigos deberán adentrarse en un profundo y enigmático laberinto, repleto de trampas, acertijos y peligros. Su misión: encontrar una solución que les permita enfrentarse a Karma y salvar el equilibrio del universo.¿Lograrán salir del laberinto y detener a Karma antes de que sea demasiado tarde?AdquieraLAS PERRERIAS DE MIKE 4. MIKECRACK Y EL SECRETO DEL LABERINTOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569995774-las-perrerias-de-mike-4-mikecrack-y-el-secreto-del-laberinto/;301,0
la curiosa historia del corazon;divulgacion cientifica;ciencia y naturaleza;5;24900,0;19900,0;0,2;figueredo, vincent m.;ariel;tapa dura;0,528;23,0;14,5;1,0;2025,0;296,0;LA CURIOSA HISTORIA DEL CORAZONUn deslumbrante recorrido por el papel y el significado del corazón en la filosofía, la religión, la ciencia y el arte, desde la cuna de la civilización hasta la actualidad.¿Qué misterios esconde el órgano más simbólico del cuerpo humano? ¿Por qué ha fascinado tanto a lo largo de la historia y sigue cautivándonos hoy en día? ¿Sabemos realmente todo lo que es capaz de hacer? Desde los albores de la humanidad, el corazón ha sido mucho más que un órgano: ha latido como emblema de amor, fuerza vital y sabiduría en culturas de todo el mundo. Aunque hoy comprendemos mejor su fisiología y su función médica, sigue intrigándonos como símbolo eterno de emociones y memorias. Vincent M. Figueredo nos invita a una travesía apasionante, desde antiguas creencias hasta los últimos avances científicos, revelando cómo este órgano define nuestra existencia y por qué continúa inspirándonos. Una exploración cautivadora para entender el corazón de una manera que nunca habías imaginado.AdquieraLA CURIOSA HISTORIA DEL CORAZONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788434438392-la-curiosa-historia-del-corazon/;333,5
guia practica del estoicismo;filosofia;filosofia;10;18900,0;15100,0;0,2;pigliucci, massimo;ariel;rustico;0,276;23,0;14,5;1,0;2025,0;192,0;GUIA PRACTICA DEL ESTOICISMOUn libro inspirado por los principios de Epicteto y su sabiduría para cultivar la felicidad y la resiliencia en la vida diaria.Con su enfoque en las cuatro virtudes cardinales—sabiduría, justicia, valor y templanza— Massimo Pigliucci presenta 53 lecciones breves que combinan inspiración y herramientas prácticas para desarrollar resiliencia ante los desafíos cotidianos. El célebre autor actualiza la filosofía estoica integrando avances científicos y eliminando elementos desfasados para ofrecer una guía útil y realista. En esta obra, Pigliucci invita a reflexionar sobre el control personal, el carácter y los valores, reorientando nuestros deseos y aversiones para enfocarnos en lo que realmente depende de nosotros, promoviendo una vida más equilibrada y consciente.AdquieraGUIA PRACTICA DEL ESTOICISMOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569948855-guia-practica-del-estoicismo/;333,5
energia vital;medicina;medicina;5;23900,0;19100,0;0,2;means, casey;paidos;rustico;0,646;23,3;15,5;1,0;2025,0;432,0;ENERGIA VITALLa doctora Casey Means presenta un revolucionario enfoque sobre la salud metabólica que revela cómo el bienestar celular es clave para prevenir enfermedades crónicas y optimizar nuestra energía diaria. A través de estrategias prácticas y herramientas de medición, este libro nos guía hacia una salud integral y duradera.DESCUBRE EL SECRETO PARA CONSEGUIR UNA SALUD SIN LÍMITES¿Qué pasaría si se demostrara que muchas de las enfermedades que padecemos hoy en día tienen la misma causa? La doctora Casey Means afirma que nuestra capacidad para prevenir y curar muchas enfermedades, y para sentirnos realmente bien, depende de nuestra función metabólica. Este factor, el más importante y menos comprendido de nuestra salud, explica cómo nuestras células producen y utilizan la energía, lo que afecta a cada aspecto de nuestro bienestar físico y mental.La buena noticia es que, por primera vez, podemos monitorizar nuestra salud metabólica y aprender a mejorarla. A través de investigaciones científicas pioneras, historias personales y su experiencia como fundadora de una empresa de tecnología sanitaria, la doctora Means nos ofrece estrategias prácticas para optimizar áreas clave de nuestra salud y un plan de cuatro semanas con el que descubriremos:Los cinco biomarcadores que determinan el riesgo de padecer una enfermedad grave.Las herramientas que nos permitirán «ver dentro de nuestro cuerpo» y actuar al respecto.Los seis principios alimenticios que podemos aplicar en nuestra dieta, seamos carnívoros o veganos.Las conexiones clave entre sueño, ritmo circadiano y metabolismo.Un nuevo enfoque del ejercicio que integrará el movimiento en nuestra vida diaria.Cómo la exposición al frío y al calor fortalece nuestro cuerpo.Energía vital nos ofrece una nueva perspectiva sobre la verdadera causa de muchas enfermedades y nos ayudará a optimizar nuestra salud para vivir bien a cualquier edad.AdquieraENERGIA VITALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566366591-energia-vital/;361,15000000000003
elio la novela;ficcion y cuentos;libros infantiles;8;10900,0;8700,0;0,2;disney;planeta junior;rustico/bolsillo;0,174;21,0;13,0;1,0;2025,0;144,0;ELIO LA NOVELA¡Prepárate para una aventura intergaláctica! Elio siempre se ha sentido fuera de lugar, pero todo cambia de repente: aparece una nave, lo transporta al espacio y un grupo de alienígenas lo reconoce como el embajador de la Tierra. Ahora deberá hacer nuevas amistades, superar desafíos de proporciones planetarias y descubrir cuál es su camino en un mundo más grande de lo que jamás imaginó. Esta novela recrea la película de Disney y Pixar ¡e incluye una guía de los personajes a todo color!AdquieraELIO LA NOVELAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566411314-elio-la-novela/;273,0
bluey diverti-libros;libros infantiles;libros infantiles;6;20000,0;16000,0;0,2;vv. aa.;planeta junior;tapa dura;0,312;25,4;20,3;1,0;2025,0;10,0;BLUEY DIVERTI-LIBROS¡Sumérgete en el mundo de Bluey y que comience la diversión!A Bluey, el cachorro de Blue Heeler australiano, le encanta jugar, tiene una imaginación desbordante y convierte la vida diaria en divertidas aventuras. Este libro interactivo incluye ilustraciones a página completa, un cuento cautivador y un tapete de juego interactivo. Además, incluye 10 figuras para dar vida a tus personajes favoritos y despertar la imaginación de tu hijo. Ideal para niños a partir de 3 años.AdquieraBLUEY DIVERTI-LIBROSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764379790-bluey-diverti-libros/;515,62
bluey cuentos y aventuras;libros infantiles;libros infantiles;5;13000,0;10400,0;0,2;vv. aa.;planeta junior;tapa dura;0,34;20,3;15,8;3,0;2025,0;12,0;BLUEY CUENTOS Y AVENTURAS¡Sumérgete en el mundo de Bluey y que comience la diversión!La colección Bluey Cuentos y Aventuras te ofrece un cuento ilustrado y otras figuritas de tus personajes favoritos para que te diviertas dejando volar tu imaginación. Incluye un cuento y 4 figuritas.AdquieraBLUEY CUENTOS Y AVENTURASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764379813-bluey-cuentos-y-aventuras/;962,22
berlin;historia universal;historia;4;26900,0;21500,0;0,2;beevor, antony;critica;rustico;0,805;23,0;15,0;1,0;2025,0;568,0;BERLINLa última gran batalla europea de la Segunda Guerra Mundial y la estremecedora agonía del Tercer Reich. Combinando unas dotes narrativas fuera de lo común y un extraordinario talento de militar, Beevor describe tanto la complejidad de las grandes operaciones militares y la lógica de las decisiones de sus mandos como los sentimientos de la gente atrapada en un torbellino de fuego y metralla.AdquieraBERLINen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569993725-berlin/;345,0
arquitectos del alma;sicologia;ciencias sociales;5;22900,0;18300,0;0,2;ayan, steve;paidos;rustico;0,6;23,3;15,5;1,0;2025,0;400,0;ARQUITECTOS DEL ALMAArquitectos del alma es una fascinante historia cultural que explica el nacimiento de la psicoterapia en la Viena de Freud y cómo esta revolucionó nuestra manera de entender la psique humana.¿Qué es un ser humano? ¿Dónde comienza la neurosis? ¿Es el deseo sexual la fuente de todos los deseos? ¿Se pueden resolver traumas, miedos y depresiones? ¿Cuál es el sentido de la vida?En este vibrante y colorido recorrido cultural, el psicólogo y periodista Steve Ayan nos lleva de regreso a los albores de la psicoterapia en la Viena del fin de siglo y narra la fascinante historia de visionarios como Freud, Jung o Adler, entre otros, quienes desarrollaron uno de los pilares de la civilización occidental: la promesa del bienestar personal.Gracias a este nuevo paradigma, la psicología ha acabado siendo una de las ciencias más influyentes del siglo xx y, con el psicoanálisis, desencadenó una nueva corriente intelectual y social: los abismos del «alma» ya eran conocidos antes de esa época, sin embargo, la idea de que se podía curar la psique, mejorar al ser humano y optimizar su potencial supuso toda una revolución.A través de episodios históricos, disputas intelectuales y ejemplos de casos clínicos famosos, Arquitectos del alma nos muestra cómo la psicoterapia no solo ha modelado nuestra comprensión de lo que significa ser humano, sino que continúa fascinándonos con su capacidad para desentrañar los misterios más profundos del alma.AdquieraARQUITECTOS DEL ALMAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566366560-arquitectos-del-alma/;361,15000000000003
alas de estrella;libros juveniles;libros juveniles;6;21900,0;17500,0;0,2;saft, allison;crossbooks;rustico;0,573;22,5;14,5;2,5;2025,0;424,0;ALAS DE ESTRELLAHace siglos que un hada cálida no cruza hacia el Bosque del Invierno. Y, aunque la mayoría teme a las leyendas sobre los monstruos que acechan en esas tierras heladas, Clarion no puede evitar sentirse fascinada por la estoica belleza del invierno. Sin embargo, bajo la atenta mirada de la monarca actual y los ministros estacionales de la corte, Clarion tiene poco tiempo para perderse en ensoñaciones mientras los días hasta su coronación vuelan. Eso cambia cuando llegan informes al palacio sobre un monstruo que ha cruzado del invierno a la primavera. Clarion cree que derrotar esta amenaza le dará la oportunidad de demostrar que es digna de su nuevo rol. Pero en el límite del invierno, en lugar de encontrar un monstruo encuentra a Milori, el joven custodio del Bosque del Invierno. Juntos, forman un vínculo inesperado mientras luchan por salvar sus tierras. A medida que su alianza se transforma en algo más profundo, descubrirán la razón por la cual un hada cálida y un habitante del invierno no pueden estar juntos. Y que hacerlo podría ser tan letal como los monstruos que acechan en el Bosque del InviernoAdquieraALAS DE ESTRELLAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566419082-alas-de-estrella/;815,625
trilogia de la fundacion;ciencia ficcion;literatura ciencia ficcion;6;18000,0;13500,0;0,25;asimov, isaac;debolsillo;rustico/bolsillo;0,635;19,0;13,0;6,0;2020,0;904,0;TRILOGIA DE LA FUNDACIONLa «Trilogía de la Fundación» está considerada la mejor serie de la ciencia ficción universal. Como tal, fue galardonada en 1966 con un premio Hugo, y ahora reunida en un único volumen: una lectura imprescindible para los amantes del género.El hombre se ha dispersado por toda la galaxia. La capital del Imperio es Trántor, nido de intrigas y corrupción. Gracias a su ciencia, fundada en el estudio matemático de los hechos históricos y el comportamiento de las masas, el psicohistoriador Hari Seldon prevé la caída del Imperio y el retorno a la barbarie durante varios milenios. A fin de reducir este período de barbarie a mil años, Seldon decide crear una Fundación en un extremo de la galaxia.El poderío de la Fundación alcanza límites insospechados, su dominio se sostiene en la energía, la religión y el comercio. Sin embargo, la aparición del Mulo, un individuo dotado de poderes paranormales, desafía todas las previsiones. Conquistando planeta tras planeta, le gana terreno a la Fundación de manera vertiginosa. La salvación de la galaxia queda en manos de una Segunda Fundación totalmente secreta y cuyo emplazamiento es desconocido incluso para los dirigentes de la Primera.AdquieraTRILOGIA DE LA FUNDACIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789585579668-trilogia-de-la-fundacion/;1482,0
