titulo,categoria,macrocategoria,disponibles,precio_original,precio_oferta,autor,editorial,encuadernacion,peso,dimensiones,ano_edicion,paginas,idioma,info_adicional,descripcion,link,fecha_extraccion
NEW ZEALAND HANDBOOK,Guías de Viajes,Turismo y Viajes,2,$8.500,$5.300,MARCO POLO TRAVEL PUBLISHING,"MARCO POLO TRAVEL PUBLISHING, LTD.",Rustico/Bolsillo,"0,695 kg",19 × 13 × 3 cm,2017.0,475.0,Inglés,"['0,695 kg', '19 × 13 × 3 cm', 'MARCO POLO TRAVEL PUBLISHING', 'Rustico/Bolsillo', 'Inglés', '475', '2017', 'MARCO POLO TRAVEL PUBLISHING, LTD.']","
NEW ZEALAND HANDBOOK


For advice you can trust, look no further than Marco Polo.
The New Zealand Marco Polo Handbook offers expert advice and is aimed at travelers looking for in-depth coverage of a destination – from detailed cultural information to Insider Tips – in an easy to use format. Whatever your mood or interests, Marco Polo Handbooks are the perfect travel companion.
Discover & Understand: Our innovative infographics condense large amounts of data into a format which is easy to understand. Infograhics include: New Zealand at a Glance, Everyday Life, Renewable Energy, Rugby and of course the Kiwi Fruit.
Unique 3D images provide vivid insights into Plate Tectonics, Auckland’s Sky Tower and Maori Meeting Houses.
Tours: 5 specially created tours explore the very best of New Zealand. All suggested tours are plotted on detailed maps and combine the best and most interesting places to see, with tips for exciting stops along the way.
Experience & Enjoy: All the things which make a trip unforgettable: from eating and drinking, shopping, sightseeing, museums & galleries, staying the night, traveling with children, festivals and going out in the evening. What’s the best way to explore New Zealand? Where are the best places for shopping? What is there to do with children? Answers to these and many other questions can be found in this chapter.
In depth knowledge: Knowledge is king and Marco Polo Handbooks are packed full of information to help you get the best out of your trip. Insider Tips and special Marco Polo insights reveal hidden gems and well-kept secrets.
Large pull-out map: Includes a separate pull-out map handily placed in a high quality plastic wallet at the back of the book, which can also be used as a storage pocket. 
Adquiera NEW ZEALAND HANDBOOK en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9783829768443-new-zealand-handbook/,2025_09_16
NAPLES Y THE AMALFI COAST POCKET GUIDE,Mapas y Atlas de Ciudades,Turismo y Viajes,1,$4.700,$3.000,VV. AA.,"MARCO POLO TRAVEL PUBLISHING, LTD.",Rustico/Bolsillo,"0,240 kg",19 × 11 × 1 cm,2017.0,144.0,Inglés,"['0,240 kg', '19 × 11 × 1 cm', 'Rustico/Bolsillo', 'VV. AA.', 'MARCO POLO TRAVEL PUBLISHING, LTD.', 'Inglés', '144', '2017']","
NAPLES Y THE AMALFI COAST POCKET GUIDE
Experience all of Naples & the Amalfi Coast’s attractions with this up-to-date and authoritative guide, complete with ‘Best Of’ recommendations. You’ll discover nice hotels, restaurants and night spots; there are also ideas for shopping and tips for those on a low budget plus information on festivals and events and sports and activities. Further sections include: Travel Tips, Travel with Kids, Links, Blogs, Apps & more, Italian phrase book and  a comprehensive index.   Naples is full of surprises – the bustling city is a place of adventure and provides a perfect contrast to the Gulf Coast: the Mediterranean, the light, the warmth, the magnificent scenery, the scent of the sea and the pine trees, the colours.   With MARCO POLO Naples & the Amalfi Coast you will experience a veritable paradise: bright yellow lemons glowing from the dark lemon groves of Sorrento and Amalfi, and the intoxicating scent of white blossoms. In the deep grottos along the rocky coast the sea is cobalt blue and emerald green.   This practical, pocket-sized guide takes you through the narrow alleyways and colourful markets of Naples. Meander across the broad and elegant squares, or descend into the city’s subterranean world of tufa (volcanic rock). Savour the world’s best pizza, and go surfing in Palinuro or hike the Amalfi Coast along old mountain tracks with magnificent views of the sea. The most important highlights lead you to places that should definitely not be missed on your visit to the Gulf of Naples. The ‘Best Of’ pages point out some experiences unique to this part of Italy, recommend things to do for free, and have tips for rainy days and where you can relax and unwind. The Insider Tips reveal where you can enjoy Naples’ best Espresso or experience a tonic for the senses.   Excursions & Tours lead you from mighty monuments to mountain solitude: a day trip takes you to the enormous palace of Caserta complete with ancient legends and more recent splendour. To discover the mountainous hinterland of the Cilento you should allow at least two days: on horseback or by bike, in a canoe or on foot, you can explore its wildly romantic scenery. The Sport & Activities chapter will give you some more sporting tips. Finally the Dos & Don’ts highlight a few things you need to be aware of when visiting the country.   MARCO POLO Naples & the Amalfi Coast provides comprehensive coverage of all parts of the region. To help you find your way around there is a detailed Road Atlas, a useful map of Naples in the cover, plus a separate pull-out map.
Adquiera NAPLES Y THE AMALFI COAST POCKET GUIDE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9783829707336-naples-y-the-amalfi-coast-pocket-guide/,2025_09_16
NACISTE PARA DISFRUTAR,Mente y Espíritu,Autoayuda,9,$24.900,$5.000,"NIEVES, RUT",PLANETA EDITORIAL,Rustico,"0,660 kg",15 × 23 × 1 cm,2019.0,398.0,Español,"['0,660 kg', '15 × 23 × 1 cm', 'Español', 'PLANETA EDITORIAL', 'NIEVES, RUT', 'Rustico', '2019', '398']","
NACISTE PARA DISFRUTAR
¿Te permites disfrutar? ¿Por qué hay mujeres que han censurado el placer en sus vidas, anteponiendo las necesidades de su pareja y de sus hijos por encima de las suyas propias? ¿Por qué hay hombres o mujeres que se apegan a alguien que no es bueno para ellas? ¿Por qué hay tantas personas con problemas de autoestima y de pareja? Estas y otras muchas preguntas reciben una insólita y fascinante respuesta en el presente libro. Rut Nieves quiere que los hombres y las mujeres se descubran a sí mismos, y entre ellos, trasciendan sus miedos y sus inseguridades, para que puedan disfrutar del amor sano y del placer plenamente en sus relaciones. Un libro que nos ayudará a comprendernos un poco mejor, a sanar el corazón, a practicar el desapego y la independencia emocional, a aumentar la confianza en nosotros mismos, a poner límites sanos, a conectar con nuestro poder, la autoridad, el amor propio y el placer. Un libro que te ayudará a liberarte de inseguridades, prejuicios, restricciones morales dañinas de la cultura patriarcal para poder disfrutar de una vida física, mental y emocional más amorosa y sana.
Adquiera NACISTE PARA DISFRUTAR en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563606782-naciste-para-disfrutar/,2025_09_16
EL NACIMIENTO IMPERFECTO DE LAS COSAS,Física,Ciencia y Naturaleza,2,$17.500,$16.000,"TONELLI, GUIDO",LOS LIBROS DEL LINCE,Rustico,"0,480 kg","23 × 15,5 × 1,5 cm",2016.0,302.0,Español,"['0,480 kg', '23 × 15,5 × 1,5 cm', 'Español', '302', '2016', 'LOS LIBROS DEL LINCE', 'Rustico', 'TONELLI, GUIDO']","
EL NACIMIENTO IMPERFECTO DE LAS COSAS


El libro perfecto para iniciarse en las claves de la nueva física. Si todo nació con la materia, debemos comprender los múltiples detalles de ese episodio crucial. Con este objetivo, el CERN creó el LHC cerca de Ginebra, el acelerador de partículas más potente del planeta, el dispositivo que mejor recrea las condiciones iniciales del universo. Así hemos conseguido capturar «la partícula de Dios» y por eso seguimos investigando. Hemos de entender mejor cómo apareció todo y cómo tendrá fin nuestra historia: si envueltos en el frío y las tinieblas, o con una catástrofe cósmica que al menos nos concedería el privilegio de un último acto espectacular. Con la audacia de los grandes exploradores, Guido Tonelli, uno de los principales guías de ese grupo de físicos visionarios, nos cuenta qué significa asomarse a los límites del conocimiento para descubrir cómo fue el inicio del mundo y cómo tal vez será su final.
Adquiera EL NACIMIENTO IMPERFECTO DE LAS COSAS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788415070771-el-nacimiento-imperfecto-de-las-cosas/,2025_09_16
MUJERES BACANAS LATINAS,Biografías Históricas,Ensayos y Biografías,5,$24.100,$16.900,VV. AA.,CATALONIA,Rustico,"0,270 kg",17 × 24 × 1 cm,2019.0,112.0,Español,"['0,270 kg', '17 × 24 × 1 cm', 'CATALONIA', 'Rustico', 'Español', '112', '2019', 'VV. AA.']","
MUJERES BACANAS LATINAS

SI ELLAS PUDIERON, NOSOTRAS TAMBIEN 
La propuesta del libro Mujeres Bacanas de seleccionar y poner en valor a mujeres cuyos logros son visibles al interior de un mundo estructurado por el poder masculino, ya tuvo una primera versión acogida ampliamente en 2017, en los albores del denominado “Mayo feminista”.
Adquiera MUJERES BACANAS LATINAS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563247015-mujeres-bacanas-latinas/,2025_09_16
"MUERTOS, LOS",Contemporanea,Literatura,10,$12.000,$9.000,"BISAMA, ALVARO",DEBOLSILLO,Rustico/Bolsillo,"0,135 kg","12,5 × 19 × 1 cm",2018.0,148.0,Español,"['0,135 kg', '12,5 × 19 × 1 cm', 'Español', '148', '2018', 'DEBOLSILLO', 'Rustico/Bolsillo', 'BISAMA, ALVARO']","
MUERTOS, LOS
Los relatos de este volumen pueden leerse como el mapa fragmentado de  un relato mayor, como la hoja de ruta de una autopista desolada que se  extiende hacia un horizonte borroso, hecho de ceniza y descargas eléctricas.
Adquiera MUERTOS, LOS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563254174-muertos-los/,2025_09_16
MOROCCO POCKET GUIDE,Guías de Viajes,Turismo y Viajes,2,$4.700,$3.000,VV. AA.,"MARCO POLO TRAVEL PUBLISHING, LTD.",Rustico/Bolsillo,"0,245 kg","19 × 11 × 1,5 cm",2016.0,140.0,Inglés,"['0,245 kg', '19 × 11 × 1,5 cm', 'Inglés', '140', '2016', 'MARCO POLO TRAVEL PUBLISHING, LTD.', 'Rustico/Bolsillo', 'VV. AA.']","
MOROCCO POCKET GUIDE


Marco Polo Morocco: the Travel Guide with Insider Tips
Most travellers want to have fun and feel relaxed from the moment they arrive at their holiday destination – that’s what Marco Polo Guides are all about. This new series will appeal to all types of travellers, including those who haven’t bought a travel guide in the past! Marco Polo’s unique insider tips are peppered throughout the guide – offering a real insight into the destination.
Experience all the attractions of Morocco with this up-to-date and authoritative guide, complete with Best Of recommendations. You’ll find hotels, restaurants and trendy places to go, as well as tips for shopping in the bazaars and getting by on a low budget. There are also ideas for those travelling with children and for active pursuits as well as a summary of the country’s main festivals and events. Further sections include: Travel Tips, Food & Drink, Links, Blogs, Apps & more and index.
The world is a peacock, and Morocco is its tail – so says a Moroccan proverb. Unforgettable impressions and experiences await you in a country that, with all its geographical, historical and cultural variety, is quite different from many other regions of the world.
With MARCO POLO Morocco you’ll experience one of the most beautiful and fascinating countries on earth. The practical, pocket-sized guide leads you through magnificent landscapes and across the Sahara Desert to impressive mud buildings, Arab old towns and colorful markets. Accompanied by oriental hospitality, immerse yourself in the world of the Arabian Nights!
The Insider Tips reveal where, far from any bus route, you can find a palm oasis, and where saints watch over surfers. The Best Of pages highlight some unique aspects of Morocco, recommend places to go for free, and have tips for things to do if it rains and where you can relax and unwind, while panels in each chapter suggest things to do if you’re on a tight budget and where you might pick up some real bargains. Whether you’re on foot, by car or in a 4-wheel drive, there is so much to discover.
The Excursions & Tours lead you to the summit of Africa’s highest mountains, to Morocco’s most scenic valley and through two enormous gorges. Whether by mule or by camel, Morocco’s beauty is best explored off the beaten track. And whether you’re surfing on the Atlantic or climbing in the Atlas, the Sports & Activities chapter contains the most important information and contact details. Finally the Dos & Don’ts tell you why you should neither rush nor snap.
MARCO POLO Morocco provides comprehensive coverage of all parts of the country. To help you find your way around there are the Where to Start panels for main cities, a detailed Road Atlas, a useful map of Marrakech in the cover and separate pull-out map.

Adquiera MOROCCO POCKET GUIDE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9783829706988-morocco-pocket-guide/,2025_09_16
MITOS DE CHILE: ENCICLOPEDIA DE SERES APARICIONES Y ENCANTOS,Mitologia,Historia,5,$39.800,$27.900,"MONTECINO, SONIA",CATALONIA,Rustico,"1,225 kg",24 × 17 × 4 cm,2013.0,728.0,Español,"['1,225 kg', '24 × 17 × 4 cm', 'MONTECINO, SONIA', 'CATALONIA', 'Rustico', 'Español', '728', '2013']","
MITOS DE CHILE: ENCICLOPEDIA DE SERES APARICIONES Y ENCANTOS


Después de diez años de su publicación, llega esta versión actualizada y aumentada de Mitos de Chile. Esta vez convertido en una enciclopedia de “seres, apariciones y encantos”. Esta edición se ha realizado con aportes del Consejo Nacional del Libro y la Lectura y está destinada a un público transversal y masivo a un precio muy asequible para la calidad de su edición y cantidad de páginas que requiere una enciclopedia. Presentación de la enciclopedia, por Sonia Montecino: La densidad cultural que habita en los relatos míticos mestizos e indígenas ha sido escasamente valorada, muchas veces desconocida y no pocas negada. Esta nueva edición de Mitos de Chile. Enciclopedia de seres, apariciones y encantos es un intento por poner en cuestión nuestra supuesta carencia de tramas simbólicas y traer a escena los infinitos y profundos recodos de los imaginarios sociales hoy vigentes. La reedición que hoy presentamos contiene más de cien nuevas definiciones, y un sinnúmero de precisiones y versiones a los relatos de nuestro primer libro. Volver a rozar estas materias, en medio de la proliferación de representaciones mundializadas, ha sido un gesto por recuperar y traer otra vez a escena la riqueza de los mundos contados. Como en su primera impresión, Mitos de Chile nos da la posibilidad de acceder a un “otro” país, el inventado en multitud de gestos luminosos y sombríos por una tradición que nos interpela en nuestras más profundas experiencias culturales. El patrimonio intangible, oral y transmitido porfiadamente, es el testimonio indudable de una memoria que nos constituye a pesar de que hayamos querido desalojarla en el prurito ilustrado de nuestra modernidad y en la soberbia individualista del neoliberalismo.  Anhelamos, entonces, que este diccionario sea el punto de partida, la puerta hacia el deseo de dejarse arrastrar por un torrente que cae del cielo y que mana por la tierra mil veces construida y hablada en el idioma de los pueblos originarios, en el de los(as) mestizos(as) chilenos(as) y en el español “apropiado”, de los(as) aymara, mapuche, canoeros(as) y cazadores australes, y rapanui.
 
Adquiera MITOS DE CHILE: ENCICLOPEDIA DE SERES APARICIONES Y ENCANTOS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563243758-mitos-de-chile-enciclopedia-de-seres-apariciones-y-encantos/,2025_09_16
MIENTRAS ESCRIBO,Ensayo,Literatura,5,$12.000,$9.000,"KING, STEPHEN",DEBOLSILLO,Rustico/Bolsillo,"0,240 kg","19 × 12,5 × 1,9 cm",2020.0,318.0,Español,"['0,240 kg', '19 × 12,5 × 1,9 cm', 'Español', '318', '2020', 'DEBOLSILLO', 'Rustico/Bolsillo', 'KING, STEPHEN']","
MIENTRAS ESCRIBO


Pocas veces un libro sobre el oficio de escribir ha resultado tan  clarificador, útil y revelador. Mientras escribo empieza el relato de la asombrosa infancia de Stephen King y su extraño y temprano  interés por la escritura. Una serie de vívidos recuerdos de la  adolescencia, de la universidad y de los años de lucha que lo llevaron  a la culminación de su primera novela, Carrie, aportan al lector una amena y divertida perspectiva sobre la formación del  escritor. A continuación King describe las herramientas básicas del oficio y expone sus opiniones personales sobre el secreto de la  escritura. Mientras escribo culmina con el conmovedor relato de cómo su necesidad de escribir lo estimuló para recuperarse de su casi fatal accidente en el verano de 2000.

Adquiera MIENTRAS ESCRIBO en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788497597326-mientras-escribo/,2025_09_16
MAURITIUS POCKET GUIDE,Guías de Viajes,Turismo y Viajes,3,$4.700,$3.000,VV. AA.,"MARCO POLO TRAVEL PUBLISHING, LTD.",Rustico/Bolsillo,"0,230 kg",19 × 11 × 1 cm,2018.0,136.0,Inglés,"['0,230 kg', '19 × 11 × 1 cm', 'Inglés', '136', '2018', 'MARCO POLO TRAVEL PUBLISHING, LTD.', 'Rustico/Bolsillo', 'VV. AA.']","
MAURITIUS POCKET GUIDE


Marco Polo Pocket Guide Mauritius: the Travel Guide with Insider Tips
Explore Mauritius with this handy, pocket-sized, authoritative guide, packed with Insider Tips. Discover boutique hotels, authentic restaurants, the island’s trendiest places, and get tips on shopping and what to do on a limited budget. There are plenty of ideas for travel with kids, and a summary of all the festivals and events that take place in Mauritius. Let Marco Polo show you all this tropical paradise has to offer…
Mark Twain once said that God created Mauritius first and then modelled Paradise on it. Whoever flies to Mauritius is looking for sun, sand and sea; what you will find is an absolutely magical place. Experience the jewel of the Indian Ocean up-close. Just an hour from the beach you will be in the rainforest, and it only takes a few minutes from the Tamil temple to the Christian shrine. Experience the bustle of Port Louis and discover the colorful villages nearby which seem to come from a different age. This is Mauritius!
Your Marco Polo Mauritius Pocket Guide includes:
• Insider Tips – we show you the hidden gems and little known secrets that offer a real insight into Mauritius. Experience miracle teas and take part in Diwali, enjoy beautiful views and unforgettable experiences in beautiful natural surroundings.
• Best of – find the best things to do for free, the best ‘only in’ Mauritius experiences, the best things to do if it rains and the best places to relax and spoil yourself.
• Sightseeing – all of the top sights are organized by area so you can easily plan your trip.
• Discovery Tours – specially tailored tours that will get you to the heart of Mauritius. Here are the best tours that will help you enjoy all of Mauritius’ wonderful scenery, culture and cuisine.
• Mauritius in full-color – Marco Polo Pocket Guide Mauritius includes full-color photos throughout the guide bringing the tropical island to life offering you a real taste of what you can see and enjoy on your trip.
• Touring App – you can download any of the Discovery Tours to your smartphone, complete with the detailed route description and map exactly as featured in the guide, free of charge. The maps can be used offline too, so no roaming charges. The perfect navigational tool with distance indicators and landmarks highlighting the correct direction to travel in as well as GPS coordinates along the way. Enjoy stress-free sightseeing and never get lost again!
• Road Atlas and pull-out map – we’ve included a detailed road atlas and a handy, pull-out map so you can pop the guide in your bag for a full-on sightseeing day or head out with just the map to enjoy your Discovery Tour.
• Useful French phrases – the essential words and phrases are included to help you get by.
Trust Marco Polo Pocket Guide Mauritius to show you around this diamond of the Indian Ocean. The comprehensive coverage and unique insights will ensure you experience everything Mauritius has to offer and more. The special tips, personal insights and unusual experiences will help you make the most of your trip – just arrive and enjoy.

Adquiera MAURITIUS POCKET GUIDE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9783829707749-mauritius-pocket-guide/,2025_09_16
MAS ALLA DEL INVIERNO,Autores Chilenos,Literatura,14,$13.000,$9.750,"ALLENDE, ISABEL",DEBOLSILLO,Rustico/Bolsillo,"0,340 kg","12,5 × 19 × 1 cm",2020.0,350.0,Español,"['0,340 kg', '12,5 × 19 × 1 cm', 'Rustico/Bolsillo', 'DEBOLSILLO', 'Español', '350', '2020', 'ALLENDE, ISABEL']","
MAS ALLA DEL INVIERNO
Isabel Allende parte de la célebre cita de Albert Camus -«en medio del invierno aprendí por fin que había en mí un verano invencible»- para urdir una trama que presenta la geografía humana de unos personajes propios de la América de hoy que se hallan «en el mÁs profundo invierno de sus vidas»: una chilena, una joven guatemalteca ilegal y un maduro norteamericano. Los tres sobreviven a un terrible temporal de nieve que cae en pleno invierno sobre Nueva York y acaban aprendiendo que mÁs allÁ del invierno hay sitio para el amor inesperado y para el verano invencible que siempre ofrece la vida cuando menos se espera. MÁs allÁ del invierno es una de las historias mÁs personales de Isabel Allende: una obra absolutamente actual que aborda la realidad de la emigración y la identidad de la América de hoy a través de unos personajes que encuentran la esperanza en el amor y en las segundas oportunidades.
Adquiera MAS ALLA DEL INVIERNO en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788466344227-mas-alla-del-invierno/,2025_09_16
MANTENIMIENTO MECANICO PREVENTIVO DEL,Sin Categorizar,Sin Categorizar,1,$22.000,$10.500,"GONZALEZ, DAVID",PARANINFO,Rustico,"0,4 kg",18 × 12 × 1 cm,,,,"['0,4 kg', '18 × 12 × 1 cm', 'Rustico', 'GONZALEZ, DAVID', 'PARANINFO']","
MANTENIMIENTO MECANICO PREVENTIVO DEL
Este libro estÁ dirigido a los alumnos del Ciclo Formativo de grado medio que conduce a la obtención del título de Técnico en Emergencias Sanitarias, perteneciente a la familia profesional de Sanidad, al amparo del Real Decreto 1397/2007, de 29 de octubre. Mantenimiento mecÁnico preventivo del vehículo se compone de cinco unidades que desarrollan los contenidos requeridos para el estudio del módulo profesional del mismo nombre, según la normativa vigente. La estructura del libro se divide en bloques temÁticos en los que se presentan los conceptos mÁs importantes y totalmente actualizados para comprender y poner en prÁctica el mantenimiento del vehículo sanitario. También se incluye un Anexo prÁctico dedicado al mantenimiento diario del vehículo sanitario y su conducción, para que el alumno se aproxime a su futura experiencia profesional y pueda aplicar todo lo aprendido durante el curso.  En cada unidad los contenidos se acompañan de numerosas fotografías, figuras y esquemas que complementan la información del texto. AdemÁs, para dinamizar el estudio, se desarrollan múltiples casos prÁcticos y se proponen actividades, tanto propuestas como resueltas, que pueden realizarse a lo largo del curso. Estas características hacen de la obra una herramienta fundamental para estudiantes, profesores y profesionales y aficionados a esta materia. El autor, David GonzÁlez Calleja, es ingeniero superior industrial y posee el título de Suficiencia Investigadora por la Universidad Politécnica de Madrid. Cuenta con una amplia experiencia docente como profesor de la asignatura de Motores de Combustión Interna en la Universidad Europea de Madrid y como profesor funcionario de carrera en la especialidad de Organización y Procesos de Mantenimiento de Vehículos. AdemÁs, es autor de otros libros de formación relacionados con la automoción publicados por esta editorial.
Adquiera MANTENIMIENTO MECANICO PREVENTIVO DEL en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788428338448-mantenimiento-mecanico-preventivo-del/,2025_09_16
MANSFIELD PARK,Clásicos Universales,Literatura,16,$16.000,$12.000,"AUSTEN, JANE",PENGUIN CLASICOS,Rustico/Bolsillo,"0,455 kg","12,5 × 19 × 1 cm",2015.0,612.0,Español,"['0,455 kg', '12,5 × 19 × 1 cm', 'AUSTEN, JANE', 'Rustico/Bolsillo', 'PENGUIN CLASICOS', '2015', 'Español', '612']","
MANSFIELD PARK
Fanny Price es aún una niña cuando sus tíos la acogen en su mansión de Mansfield Park, rescatÁndola de una vida de estrecheces y necesidades. Allí, ante su mirada amedrentada, desfilarÁ un mundo de ocio y refinamiento en que las inocentes diversiones alimentarÁn maquinaciones y estrategias de seducción. Ese mundo oculta una verdad peligrosa, y solo Fanny, desde su sumiso silencio, serÁ capaz de atisbar sus consecuencias y amenazas.
Adquiera MANSFIELD PARK en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788491050025-mansfield-park/,2025_09_16
MAMA DESOBEDIENTE,Sexualidad y Género,Ciencias Sociales,1,$15.000,$10.500,"VIVAS, ESTHER",CATALONIA,Rustico,"0,460 kg",14 × 22 × 1 cm,2020.0,336.0,Español,"['0,460 kg', '14 × 22 × 1 cm', 'Español', '336', 'Rustico', 'VIVAS, ESTHER', 'CATALONIA', '2020']","
MAMA DESOBEDIENTE


Ser madre no es una tarea fácil. Vivimos en una sociedad hostil a la maternidad. No es sencillo quedarte embarazada, tener un parto respetado, dar de mamar dónde y cuándo quieres, compaginar la crianza y el trabajo. Todo el mundo se cree que puede juzgarte. Parece que tenemos que escoger entre una maternidad neoliberal supeditada al mercado o una maternidad patriarcal sacrificada. Pero ¿dónde queda nuestro derecho a vivir sin imposiciones la experiencia materna? Si tomamos el principio feminista de que lo personal es político, el reto consiste en politizar la maternidad en sentido emancipador. No se trata de idealizarla, sino de reconocer su papel fundamental en la reproducción social, otorgarle el valor que le corresponde. Una vez las mujeres hemos acabado con la maternidad como destino, toca poder decidir cómo queremos vivirla”. En este libro, la autora española Esther Vivas habla de temas invisibles como la infertilidad, el embarazo, la pérdida gestacional, el parto, la violencia obstétrica, el puerperio, la lactancia, el negocio de la leche de fórmula… Lo hace a través del ensayo, la literatura y su experiencia personal. Una mirada feminista y desobediente a la maternidad. 
SOBRE LA AUTORA: ESTHER VIVAS. Licenciada en Periodismo y Máster en Sociología. Desde que se convirtió en madre ha escrito numerosos artículos sobre maternidades, parto y lactancia. Es autora y coautora de diversos libros sobre sistema agroalimentario y movimientos sociales, entre ellos El negocio de la comida (2014), Planeta indignado (2012), En pie contra la deuda externa (2008), Supermercados, no gracias (2007). Colabora como analista política en varios medios de comunicación, forma parte del consejo asesor de la revista Viento Sur y fue galardonada en 2015 con un Premio Biocultura al periodismo comprometido con la ecología.    
Adquiera MAMA DESOBEDIENTE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563247732-mama-desobediente/,2025_09_16
